id,name,lower_freq,upper_freq
1,2190m,0.1357,0.1378
2,630m,0.472,0.479
3,560m,0.501,0.504
4,160m,1.8,2.0
5,80m,3.5,4
6,60m,5.06,5.45
7,40m,7.0,7.3
8,30m,10.1,10.15
9,20m,14,14.35
10,17m,18.068,18.168
11,15m,21.0,21.45
12,12m,24.89,24.99
13,10m,28,29.7
14,6m,50,54
15,4m,70,71
16,2m,144,148
17,1.25m,222,225
18,70cm,420,450
19,33cm,902,928
20,23cm,1240,1300
21,13cm,2300,2450
22,9cm,3300,3500
23,6cm,5650,5925
24,3cm,10000,10500
25,1.25cm,24000,24250
26,6mm,47000,47200
27,4mm,75500,81000
28,2.5mm,119980,120020
29,2mm,142000,149000
30,1mm,241000,250000
