id,name,description,import_only,weblink_id
1,070-160M-SPRINT,PODXS Great Pumpkin Sprint,f,
2,070-3-DAY,PODXS Three Day Weekend,f,
3,070-31-FLAVORS,PODXS 31 Flavors,f,
4,070-40M-SPRINT,PODXS 40m Firecracker Sprint,f,
5,070-80M-SPRINT,PODXS 80m Jay Hudak Memorial Sprint,f,
6,070-PSKFEST,PODXS PSKFest,f,
7,070-ST-PATS-DAY,PODXS St. Patricks Day,f,
8,070-VALENTINE-SPRINT,PODXS Valentine Sprint,f,
9,10-RTTY,Ten-Meter RTTY Contest (2011 onwards),f,
10,1010-OPEN-SEASON,Open Season Ten Meter QSO Party,f,
11,7QP,7th-Area QSO Party,f,
12,AL-QSO-PARTY,Alabama QSO Party,f,
13,ALL-ASIAN-DX-CW,JARL All Asian DX Contest (CW),f,
14,ALL-ASIAN-DX-PHONE,JARL All Asian DX Contest (PHONE),f,
15,ANARTS-RTTY,ANARTS WW RTTY,f,
16,ANATOLIAN-RTTY,Anatolian WW RTTY,f,
17,AP-SPRINT,Asia - Pacific Sprint,f,
18,AR-QSO-PARTY,Arkansas QSO Party,f,
19,ARI-DX,ARI DX Contest,f,
20,ARRL-10,ARRL 10 Meter Contest,f,
21,ARRL-160,ARRL 160 Meter Contest,f,
22,ARRL-222,ARRL 222 MHz and Up Distance Contest,f,
23,ARRL-DX-CW,ARRL International DX Contest (CW),f,
24,ARRL-DX-SSB,ARRL International DX Contest (Phone),f,
25,ARRL-EME,ARRL EME contest,f,
26,ARRL-FIELD-DAY,ARRL Field Day,f,
27,ARRL-RR-CW,ARRL Rookie Roundup (CW),f,
28,ARRL-RR-RTTY,ARRL Rookie Roundup (RTTY),f,
29,ARRL-RR-SSB,ARRL Rookie Roundup (Phone),f,
30,ARRL-RTTY,ARRL RTTY Round-Up,f,
31,ARRL-SCR,ARRL School Club Roundup,f,
32,ARRL-SS-CW,ARRL November Sweepstakes (CW),f,
33,ARRL-SS-SSB,ARRL November Sweepstakes (Phone),f,
34,ARRL-UHF-AUG,ARRL August UHF Contest,f,
35,ARRL-VHF-JAN,ARRL January VHF Sweepstakes,f,
36,ARRL-VHF-JUN,ARRL June VHF QSO Party,f,
37,ARRL-VHF-SEP,ARRL September VHF QSO Party,f,
38,AZ-QSO-PARTY,Arizona QSO Party,f,
39,BARTG-RTTY,BARTG Spring RTTY Contest,f,
40,BARTG-SPRINT,BARTG Sprint Contest,f,
41,BC-QSO-PARTY,British Columbia QSO Party,f,
42,CA-QSO-PARTY,California QSO Party,f,
43,CIS-DX,CIS DX Contest,f,
44,CO-QSO-PARTY,Colorado QSO Party,f,
45,CQ-160-CW,CQ WW 160 Meter DX Contest (CW),f,
