id,short_description,long_description,weblink_id
1,Northwestern Zone of North America,"KL (Alaska), VY1/VE8 Yukon, the Northwest and Nunavut Territories west of 102 degrees (Includes the islands of Victoria, Banks, Melville, and Prince Patrick).",
2,Northeastern Zone of North America,"VO2 Labrador, the portion of VE2 Quebec north of the 50th parallel, the VE8 Northwest and Nunavut Territories east of 102 degrees (Includes the islands of King Christian, King William, Prince of Wales, Somerset, Bathurst, Devon, Ellesmere, Baffin and the Melville and Boothia Peninsulas, excluding Akimiski Island).",
3,Western Zone of North America,"VE7, W6, and the W7 states of Arizona, Idaho, Nevada, Oregon, Utah, and Washington.",
4,Central Zone of North America,"VE3, VE4, VE5, VE6, VE8 Akimiski Island, and W7 states of Montana and Wyoming. W0, W9, W8 (except West Virginia), W5, and the W4 states of Alabama, Tennessee, and Kentucky.",
5,Eastern Zone of North America,"4U1UN, CY9, CY0, FP, VE1, VE9, VY2, VO1 and the portion of VE2 Quebec south of the 50th parallel. VP9, W1, W2, W3 and the W4 states of Florida, Georgia, South Carolina, North Carolina, Virginia and the W8 state of West Virginia.",
6,Southern Zone of North America,"XE/XF, XF4 (Revilla Gigedo).",
7,Central American Zone,"FO (Clipperton), HK0 (San Andres and Providencia), HP, HR, TG, TI, TI9, V3, YN and YS.",
8,West Indies Zone,"C6, CO, FG, FJ, FM, FS, HH, HI, J3, J6, J7, J8, KG4 (Guantanamo), KP1, KP2, KP4, KP5, PJ (Saba, St. Maarten, St. Eustatius), V2, V4, VP2, VP5, YV0 (Aves Is.), ZF, 6Y, and 8P.",
9,Northern Zone of South America,"FY, HK, HK0 (Malpelo), P4, PJ (Bonaire, Curacao), PZ, YV, 8R, and 9Y.",
10,Western Zone of South America,"CP, HC, HC8, and OA.",
11,Central Zone of South America,"PY, PY0, and ZP.",
12,Southwest Zone of South America,"Y (Peter I), CE, CE0 (Easter Is., Juan Fernandez Is., San Felix Is.), and some Antarctic stations. (See Notes Below)",
13,Southeast Zone of South America,"CX, LU, VP8 Islands, and some Antarctic stations. (See Notes Below)",
14,Western Zone of Europe,"C3, CT, CU, DL, EA, EA6, El, F, G, GD, GI, GJ, GM. GU, GW, HB, HB0, LA, LX, ON, OY, OZ, PA, SM, ZB, 3A and 4U1ITU.",
15,Central European Zone,"ES, HA, HV, I, IS0, LY, OE, OH, OH0, OJ0, OK, OM, S5, SP, T7, T9, TK, UA2, YL, YU, ZA, 1A0, Z3, 9A, 9H and 4U1VIC.",
16,Eastern Zone of Europe,"UR-UZ, EU-EW, ER, UA1, UA3, UA4, UA6, UA9 (S, T, W), and R1MV (Malyj Vysotskij).",
