id,credit_for,credit_sponsor_id,credit_award_id,credit_facet_id
1,CQDX,3,1,6
2,CQDX_BAND,3,1,1
3,CQDX_MODE,3,1,8
4,CQDX_MOBILE,3,1,7
5,CQDX_QRP,3,1,10
6,CQDX_SATELLITE,3,1,11
7,CQDXFIELD,3,3,6
8,CQDXFIELD_BAND,3,3,1
9,CQDXFIELD_MODE,3,3,8
10,CQDXFIELD_MOBILE,3,3,7
11,CQDXFIELD_QRP,3,3,10
12,CQDXFIELD_SATELLITE,3,3,11
13,CQWAZ_MIXED,3,24,6
14,CQWAZ_BAND,3,24,1
15,CQWAZ_MODE,3,24,8
16,CQWAZ_SATELLITE,3,24,11
17,CQWAZ_EME,3,24,4
18,CQWAZ_MOBILE,3,24,7
19,CQWAZ_QRP,3,24,10
20,CQWPX,3,26,6
21,CQWPX_BAND,3,26,1
22,CQWPX_MODE,3,26,8
23,DXCC,2,2,6
24,DXCC_BAND,2,2,1
25,DXCC_MODE,2,2,8
26,DXCC_SATELLITE,2,2,11
27,EAUSTRALIA,5,4,6
28,ECANADA,5,5,6
29,ECOUNTY_STATE,5,6,12
30,EDX,5,7,6
31,EDX100,5,8,6
32,EDX100_BAND,5,8,1
33,EDX100_MODE,5,8,8
34,EECHOLINK50,5,9,3
35,EGRID_BAND,5,10,1
36,EGRID_SATELLITE,5,10,11
37,EPFX300,5,11,6
38,EPFX300_MODE,5,11,8
39,EWAS,5,12,6
40,EWAS_BAND,5,12,1
41,EWAS_MODE,5,12,8
42,EWAS_SATELLITE,5,12,11
43,EZ40,5,13,6
44,EZ40_MODE,5,13,8
45,FFMA,2,14,6
46,IOTA,7,15,6
47,IOTA_BASIC,7,15,6
48,IOTA_CONT,7,15,2
49,IOTA_GROUP,7,15,5
50,RDA,8,16,6
51,USACA,3,17,6
52,VUCC_BAND,2,18,1
53,VUCC_SATELLITE,2,18,11
54,WAB,9,19,6
55,WAC,6,20,6
56,WAC_BAND,6,20,1
57,WAE,4,21,6
58,WAE_BAND,4,21,1
59,WAE_MODE,4,21,8
60,WAIP,1,22,6
61,WAIP_BAND,1,22,1
62,WAIP_MODE,1,22,8
63,WAS,2,23,6
64,WAS_BAND,2,23,1
65,WAS_EME,2,23,4
66,WAS_MODE,2,23,8
67,WAS_NOVICE,2,23,9
68,WAS_QRP,2,23,10
69,WAS_SATELLITE,2,23,11
70,WITUZ,7,25,6
71,WITUZ_BAND,7,25,1
