id,display_text,web_url
1,ADIF Developers group,https://groups.yahoo.com/neo/groups/adifdev/info
2,ADIF Voting group,https://groups.yahoo.com/neo/groups/ADIFVoting/info
3,ARRL Contests,http://www.arrl.org/contests
4,ARRL EME contest,http://www.arrl.org/eme-contest
5,ARRL Section Abbreviations,http://www.arrl.org/section-abbreviations
6,ASCII Codes Table,http://www.ascii.cl/
7,County Hunter Counties,http://countyhunter.com/counties.htm
8,CQ Amateur Radio,http://www.cq-amateur-radio.com/
9,DARC DOK List,http://www.darc.de/fileadmin/filemounts/referate/dx/contest/wag/Uploads/Kopie_von_DOKs_bands.xls
10,DARC Special DOK List,https://www.darc.de/fileadmin/filemounts/gs/SDOK/SDOK_List.csv
11,Extensible Markup Language (XML) 1.0,http://www.w3.org/TR/REC-xml/
12,FIPS 6-4 (Last available copy 2014/02/28 from Wayback Machine web archive),https://web.archive.org/web/20140128164414/http:/www.itl.nist.gov/fipspubs/co-codes/states.txt
13,FSQCall protocol,http://www.qsl.net/zl1bpu/MFSK/FSQweb.htm
14,FT8 Description,https://groups.yahoo.com/neo/groups/wsjtgroup/conversations/topics/19884
15,JS8Call Description,http://js8call.com/
16,JTDX website (T10 mode),http://www.jtdx.tech/
17,Maidenhead locator (Wikipedia),http://en.wikipedia.org/wiki/Maidenhead_Locator_System
18,NZART,https://www.nzart.org.nz/
19,NZART Awards,https://www.nzart.org.nz/assets/awards/nzart_awards.pdf
20,NZART North Island Counties,https://www.nzart.org.nz/assets/awards/nzart-nz-counties-north-is-log.pdf
21,NZART South Island Counties,https://www.nzart.org.nz/assets/awards/nzart-nz-counties-south-is-log.pdf
22,RSGB IOTA,http://www.rsgbiota.org/
23,SOTA General Rules,http://sota.org.uk/Joining-In/General-Rules
24,Unicode Consortium (The),http://unicode.org/
25,UTF-8 and Unicode,http://www.utf8.com/
26,Wireless Institute of Australia (WIA),https://wia.org.au/
27,Worked All Europe (WAE),http://www.darc.de/der-club/referate/dx/diplome-des-darc-referates-dx/diplome/wae-diplom/#english
28,YODX HF contest,http://www.yodx.ro/
29,ARI - l'Associazione Radioamatori Italiani,http://www.ari.it/
30,DARC - Deutscher Amateur-Radio-Club e.V.,http://www.darc.de/
31,eQSL,http://eqsl.cc/
32,IARU - International Amateur Radio Union,http://www.iaru.org/
33,JARL - Japan Amateur Radio League,http://www.jarl.or.jp/English/
34,RSGB - Radio Society of Great Britain,http://rsgb.org/
35,TAG - Tambov award group,http://rdaward.org/
36,WAB - Worked all Britain,http://www.worked-all-britain.co.uk/
